Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Fuel System,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,End of production,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum speed,Emission standard,Number of valves per cylinder,Valvetrain,Trunk (boot) space - minimum,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Number of Gears (automatic transmission),Steering type,Engine Model/Code,Cylinder Bore,Piston Stroke,Compression ratio,Engine oil capacity,Oil viscosity,Coolant,Max. weight,Max load,Trunk (boot) space - maximum,Minimum turning circle (turning diameter),Power steering,Number of Gears (manual transmission),Maximum engine speed,Ride height (ground clearance),Drag coefficient (Cd),Electric cars and hybrids specs,Battery voltage,Battery technology,Electric motor 1,Electric motor power,Electric motor Torque,System power,Internal combustion engine specs,Permitted trailer load with brakes (12%),Gross battery capacity,Electric motor 2,Engine systems,Permitted trailer load without brakes,Width including mirrors,System torque,Acceleration 0 - 60 mph,Width with mirrors folded,Front overhang,Rear overhang,Approach angle,Departure angle,Ramp angle,Permitted towbar download,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),Acceleration 0 - 200 km/h,All-electric range,Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Max. roof load
Infiniti,Q30,Q30,1.5 CDI (109 Hp) DCT,"December, 2015 year",Internal Combustion engine,"Hatchback, Crossover",5,5,Performance specs,4.7-4.8 l/100 km  50.05 - 49 US mpg60.1 - 58.85 UK mpg21.28 - 20.83 km/l,4 l/100 km  58.8 US mpg70.62 UK mpg25 km/l,4.3 l/100 km  54.7 US mpg65.69 UK mpg23.26 km/l,111-113 g/km,Diesel,"13 kg/Hp, 76.7 Hp/tonne","5.5 kg/Nm, 182.8 Nm/tonne",Engine specs,109 Hp @ 4000 rpm.,74.6 Hp/l,260 Nm @ 1750-2500 rpm.  191.77 lb.-ft. @ 1750-2500 rpm.,"Front, Transverse",1461 cm3 89.16 cu. in.,4,Inline,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1422 kg  3134.97 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),235/50 R18; 235/45 R19,18; 19,"February, 2018 year",11.9 sec,11.9 sec,11.3 sec,190 km/h  118.06 mph,Euro 6,,OHC,430 l  15.19 cu. ft.,50 l  13.21 US gal | 11 UK gal,Dimensions,4425 mm  174.21 in.,1805 mm  71.06 in.,1495 mm  58.86 in.,2700 mm  106.3 in.,1572 mm  61.89 in.,1573 mm  61.93 in.,7 DCT,Steering rack and pinion,,,,,,,,1960 kg  4321.06 lbs.,538 kg  1186.09 lbs.,,11.4 m  37.4 ft.,Electric Steering,,,,0.31,,,,,,,,,1200 kg  2645.55 lbs.,,,Particulate filter,735 kg  1620.4 lbs.,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q30,Q30,1.5 CDI (109 Hp),"December, 2015 year",Internal Combustion engine,"Hatchback, Crossover",5,5,Performance specs,4.5-4.8 l/100 km  52.27 - 49 US mpg62.77 - 58.85 UK mpg22.22 - 20.83 km/l,3.6-3.8 l/100 km  65.34 - 61.9 US mpg78.47 - 74.34 UK mpg27.78 - 26.32 km/l,3.9-4.2 l/100 km  60.31 - 56 US mpg72.43 - 67.26 UK mpg25.64 - 23.81 km/l,103-109 g/km,Diesel,"12.5 kg/Hp, 80.2 Hp/tonne","5.2 kg/Nm, 191.3 Nm/tonne",Engine specs,109 Hp @ 4000 rpm.,74.6 Hp/l,260 Nm @ 1750-2500 rpm.  191.77 lb.-ft. @ 1750-2500 rpm.,"Front, Transverse",1461 cm3 89.16 cu. in.,4,Inline,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1359-1397 kg  2996.08 - 3079.86 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),215/60 R17; 235/50 R18; 235/45 R19,17; 18; 19,"February, 2018 year",12 sec,12 sec,11.4 sec,190 km/h  118.06 mph,Euro 6,,OHC,430 l  15.19 cu. ft.,50 l  13.21 US gal | 11 UK gal,Dimensions,4425 mm  174.21 in.,1805 mm  71.06 in.,1495 mm  58.86 in.,2700 mm  106.3 in.,1572 mm  61.89 in.,1573 mm  61.93 in.,,Steering rack and pinion,,,,,,,,1960 kg  4321.06 lbs.,563-601 kg  1241.2 - 1324.98 lbs.,,11.4 m  37.4 ft.,Electric Steering,6,,,0.30-0.32,,,,,,,,,1200 kg  2645.55 lbs.,,,Particulate filter,720 kg  1587.33 lbs.,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q45,Q45 III,4.5 i V8 32V (340 Hp),2001 year,Internal Combustion engine,Sedan,5,4,Performance specs,13.8 l/100 km  17.04 US mpg20.47 UK mpg7.25 km/l,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,,,Petrol (Gasoline),"5.4 kg/Hp, 186.8 Hp/tonne","4 kg/Nm, 247.8 Nm/tonne",Engine specs,340 Hp @ 6400 rpm.,75.7 Hp/l,451 Nm @ 4000 rpm.  332.64 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",4494 cm3 274.24 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1820 kg  4012.41 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Coil spring,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),225/55 R17,,2006 year,5.9 sec,5.9 sec,5.6 sec,230 km/h  142.92 mph,,4,DOHC,355 l  12.54 cu. ft.,85 l  22.45 US gal | 18.7 UK gal,Dimensions,5070 mm  199.61 in.,1840 mm  72.44 in.,1500 mm  59.06 in.,2870 mm  112.99 in.,1580 mm  62.2 in.,1560 mm  61.42 in.,5,Steering rack and pinion,,93 mm  3.66 in.,82.7 mm  3.26 in.,10.5,,,,,,,,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q45,Q45 II,4.1 i V8 32 (269 Hp),1996 year,Internal Combustion engine,Sedan,5,4,Performance specs,13.8 l/100 km  17.04 US mpg20.47 UK mpg7.25 km/l,9.8 l/100 km  24 US mpg28.82 UK mpg10.2 km/l,,,Petrol (Gasoline),"6.5 kg/Hp, 152.8 Hp/tonne","4.7 kg/Nm, 214.8 Nm/tonne",Engine specs,269 Hp @ 5600 rpm.,65.1 Hp/l,378 Nm @ 4000 rpm.  278.8 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",4130 cm3 252.03 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1760 kg  3880.14 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Coil spring,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),215/65 R16,,2001 year,7.9 sec,7.9 sec,7.5 sec,232 km/h  144.16 mph,,4,DOHC,420 l  14.83 cu. ft.,85 l  22.45 US gal | 18.7 UK gal,Dimensions,5070 mm  199.61 in.,1820 mm  71.65 in.,1440 mm  56.69 in.,2830 mm  111.42 in.,1540 mm  60.63 in.,1540 mm  60.63 in.,4,Steering rack and pinion,,93 mm  3.66 in.,76 mm  2.99 in.,10.5,,,,2355 kg  5191.89 lbs.,595 kg  1311.75 lbs.,,,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q45,Q45 I,4.5 (278 Hp),1989 year,Internal Combustion engine,Sedan,5,4,Performance specs,,,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,,Petrol (Gasoline),"6.6 kg/Hp, 151.7 Hp/tonne","4.6 kg/Nm, 216 Nm/tonne",Engine specs,278 Hp @ 6000 rpm.,61.9 Hp/l,396 Nm @ 4000 rpm.  292.07 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",4494 cm3 274.24 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1833 kg  4041.07 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Coil spring,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),215/65 R16 V,,1996 year,,,,241 km/h  149.75 mph,,4,DOHC,271 l  9.57 cu. ft.,85 l  22.45 US gal | 18.7 UK gal,Dimensions,5075 mm  199.8 in.,1825 mm  71.85 in.,1435 mm  56.5 in.,2880 mm  113.39 in.,1570 mm  61.81 in.,1570 mm  61.81 in.,4,Steering rack and pinion,,93 mm  3.66 in.,82.7 mm  3.26 in.,10.2,,,,,,,,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),S 3.0t (405 Hp) Automatic,2017 year,Internal Combustion engine,Sedan,5,4,Performance specs,13.3 l/100 km  17.69 US mpg21.24 UK mpg7.52 km/l,6.7 l/100 km  35.11 US mpg42.16 UK mpg14.93 km/l,9.1 l/100 km  25.85 US mpg31.04 UK mpg10.99 km/l,206 g/km,Petrol (Gasoline),"4.3 kg/Hp, 234.9 Hp/tonne","3.6 kg/Nm, 275.5 Nm/tonne",Engine specs,405 Hp @ 6400 rpm.,203.4 Hp/l,475 Nm @ 1600-5200 rpm.  350.34 lb.-ft. @ 1600-5200 rpm.,"Front, Longitudinal",1991 cm3 121.5 cu. in.,6,V-engine,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1724-1744 kg  3800.77 - 3844.86 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,5.1 sec,5.1 sec,4.8 sec,250 km/h  155.34 mph,Euro 6,4,,500 l  17.66 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1430 mm  56.3 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,,,,,,,,,,,,Electric Steering,,,,0.28,,,,,,,,,1500 kg  3306.93 lbs.,,,,750 kg  1653.47 lbs.,2084 mm  82.05 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),3.5 (364 Hp) Hybrid AWD Automatic,2017 year,FHEV (Full Hybrid Electric Vehicle),Sedan,5,4,Performance specs,9.4-9.6 l/100 km  25.02 - 24.5 US mpg30.05 - 29.43 UK mpg10.64 - 10.42 km/l,5.1-5.3 l/100 km  46.12 - 44.38 US mpg55.39 - 53.3 UK mpg19.61 - 18.87 km/l,6.6-6.8 l/100 km  35.64 - 34.59 US mpg42.8 - 41.54 UK mpg15.15 - 14.71 km/l,154-159 g/km,Petrol (Gasoline),"5 kg/Hp, 200.8 Hp/tonne","3.3 kg/Nm, 301.2 Nm/tonne",,306 Hp @ 6800 rpm.,87.5 Hp/l,350 Nm @ 5000 rpm.  258.15 lb.-ft. @ 5000 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Multi-point indirect injection,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1813-1861 kg  3996.98 - 4102.8 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,5.4 sec,5.4 sec,5.1 sec,250 km/h  155.34 mph,Euro 6,4,,400 l  14.13 cu. ft.,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1445 mm  56.89 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,,,,,,,,,,,,Electric Steering,,,,0.27-0.28,Electric cars and hybrids specs,,,Electric motor 1,68 Hp,270 Nm  199.14 lb.-ft.,364 Hp,Internal combustion engine specs,1500 kg  3306.93 lbs.,,,,750 kg  1653.47 lbs.,2084 mm  82.05 in.,546 Nm  402.71 lb.-ft.,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),3.5 (364 Hp) Hybrid Automatic,2017 year,FHEV (Full Hybrid Electric Vehicle),Sedan,5,4,Performance specs,8.0-8.2 l/100 km  29.4 - 28.68 US mpg35.31 - 34.45 UK mpg12.5 - 12.2 km/l,5.1 l/100 km  46.12 US mpg55.39 UK mpg19.61 km/l,5.9-6.2 l/100 km  39.87 - 37.94 US mpg47.88 - 45.56 UK mpg16.95 - 16.13 km/l,139-144 g/km,Petrol (Gasoline),"4.8 kg/Hp, 209.6 Hp/tonne","3.2 kg/Nm, 314.3 Nm/tonne",,306 Hp @ 6800 rpm.,87.5 Hp/l,350 Nm @ 5000 rpm.  258.15 lb.-ft. @ 5000 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Multi-point indirect injection,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1737-1787 kg  3829.43 - 3939.66 lbs.,"Drivetrain, brakes and suspension specs",,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,5.1 sec,5.1 sec,4.8 sec,250 km/h  155.34 mph,Euro 6,4,,400 l  14.13 cu. ft.,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1430 mm  56.3 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,,,,,,,,,,,,Electric Steering,,,,0.26-0.27,Electric cars and hybrids specs,,,Electric motor 1,68 Hp,270 Nm  199.14 lb.-ft.,364 Hp,Internal combustion engine specs,1500 kg  3306.93 lbs.,,,,750 kg  1653.47 lbs.,2084 mm  82.05 in.,546 Nm  402.71 lb.-ft.,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),3.0t V6 (400 Hp) AWD Automatic,2018 year,Internal Combustion engine,Sedan,5,4,Performance specs,12.5 l/100 km  18.82 US mpg22.6 UK mpg8 km/l,9.3 l/100 km  25.29 US mpg30.37 UK mpg10.75 km/l,11.1 l/100 km  21.19 US mpg25.45 UK mpg9.01 km/l,,Petrol (Gasoline),,,Engine specs,400 Hp @ 6400 rpm.,133.5 Hp/l,475 Nm @ 1600-5200 rpm.  350.34 lb.-ft. @ 1600-5200 rpm.,"Front, Longitudinal",2997 cm3 182.89 cu. in.,6,V-engine,Direct injection,"Twin-Turbo, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),245/40 R19,9.0J x 19,,5.2 sec,5.2 sec,,,,4,,382 l  13.49 cu. ft.,,Dimensions,4815 mm  189.57 in.,1824 mm  71.81 in.,1453 mm  57.2 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,VR30DDTT,,,,,,,,,,,Electric Steering,,,,,,,,,,,,,,,,,,,,4.9 sec,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),3.0t V6 (300 Hp) AWD Automatic,2018 year,Internal Combustion engine,Sedan,5,4,Performance specs,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,8.7 l/100 km  27.04 US mpg32.47 UK mpg11.49 km/l,10.8 l/100 km  21.78 US mpg26.16 UK mpg9.26 km/l,,Petrol (Gasoline),,,Engine specs,300 Hp @ 6400 rpm.,100.1 Hp/l,400 Nm @ 1600-5200 rpm.  295.02 lb.-ft. @ 1600-5200 rpm.,"Front, Longitudinal",2997 cm3 182.89 cu. in.,6,V-engine,Direct injection,"Twin-Turbo, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/50 R18; 245/40 R19,7.5J x 18; 8.5J x 19,,6.1 sec,6.1 sec,5.8 sec,,,4,,382 l  13.49 cu. ft.,,Dimensions,4815 mm  189.57 in.,1824 mm  71.81 in.,1453 mm  57.2 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,VR30DDTT,,,,,,,,,,,Electric Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),2.2d (170 Hp) Automatic,2017 year,Internal Combustion engine,Sedan,5,4,Performance specs,5.7 l/100 km  41.27 US mpg49.56 UK mpg17.54 km/l,3.9-4.0 l/100 km  60.31 - 58.8 US mpg72.43 - 70.62 UK mpg25.64 - 25 km/l,4.5-4.6 l/100 km  52.27 - 51.13 US mpg62.77 - 61.41 UK mpg22.22 - 21.74 km/l,119-123 g/km,Diesel,"9.5 kg/Hp, 105.4 Hp/tonne","4 kg/Nm, 248 Nm/tonne",Engine specs,170 Hp @ 3200-4000 rpm.,79.3 Hp/l,400 Nm @ 1600-2800 rpm.  295.02 lb.-ft. @ 1600-2800 rpm.,"Front, Longitudinal",2143 cm3 130.77 cu. in.,4,Inline,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1613-1796 kg  3556.06 - 3959.5 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,8.7 sec,8.7 sec,8.3 sec,230 km/h  142.92 mph,Euro 6,4,,450 l  15.89 cu. ft.,74 l  19.55 US gal | 16.28 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1445 mm  56.89 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,,,,,,,,,,,,Electric Steering,,,,0.26-0.27,,,,,,,,,1500 kg  3306.93 lbs.,,,Particulate filter,750 kg  1653.47 lbs.,2084 mm  82.05 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),2.2d (170 Hp),2017 year,Internal Combustion engine,Sedan,5,4,Performance specs,5.5-5.7 l/100 km  42.77 - 41.27 US mpg51.36 - 49.56 UK mpg18.18 - 17.54 km/l,3.7-3.8 l/100 km  63.57 - 61.9 US mpg76.35 - 74.34 UK mpg27.03 - 26.32 km/l,4.3-4.5 l/100 km  54.7 - 52.27 US mpg65.69 - 62.77 UK mpg23.26 - 22.22 km/l,114-118 g/km,Diesel,"9.4 kg/Hp, 106.8 Hp/tonne","4 kg/Nm, 251.3 Nm/tonne",Engine specs,170 Hp @ 3200-4000 rpm.,79.3 Hp/l,400 Nm @ 1600-2800 rpm.  295.02 lb.-ft. @ 1600-2800 rpm.,"Front, Longitudinal",2143 cm3 130.77 cu. in.,4,Inline,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1592-1757 kg  3509.76 - 3873.52 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,8.9 sec,8.9 sec,8.5 sec,231 km/h  143.54 mph,Euro 6,4,,450 l  15.89 cu. ft.,74 l  19.55 US gal | 16.28 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1445 mm  56.89 in.,2850 mm  112.2 in.,,,,Steering rack and pinion,,,,,,,,,,,,Electric Steering,6,,,0.26-0.27,,,,,,,,,1500 kg  3306.93 lbs.,,,Particulate filter,750 kg  1653.47 lbs.,2084 mm  82.05 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50 (facelift 2017),2.0t (211 Hp) Automatic,2017 year,Internal Combustion engine,Sedan,5,4,Performance specs,8.6-8.8 l/100 km  27.35 - 26.73 US mpg32.85 - 32.1 UK mpg11.63 - 11.36 km/l,5.0-5.2 l/100 km  47.04 - 45.23 US mpg56.5 - 54.32 UK mpg20 - 19.23 km/l,6.3-6.5 l/100 km  37.34 - 36.19 US mpg44.84 - 43.46 UK mpg15.87 - 15.38 km/l,146-151 g/km,Petrol (Gasoline),"7.2 kg/Hp, 139.6 Hp/tonne","4.3 kg/Nm, 231.5 Nm/tonne",Engine specs,211 Hp @ 5500 rpm.,106 Hp/l,350 Nm @ 1250-3500 rpm.  258.15 lb.-ft. @ 1250-3500 rpm.,"Front, Longitudinal",1991 cm3 121.5 cu. in.,4,Inline,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1512-1692 kg  3333.39 - 3730.22 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,7.2 sec,7.2 sec,6.8 sec,245 km/h  152.24 mph,Euro 6,4,,500 l  17.66 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4810 mm  189.37 in.,1820 mm  71.65 in.,1445 mm  56.89 in.,2850 mm  112.2 in.,,,7,Steering rack and pinion,,,,,,,,,,,,Electric Steering,,,,0.26-0.27,,,,,,,,,1500 kg  3306.93 lbs.,,,,750 kg  1653.47 lbs.,2084 mm  82.05 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50,S 3.5 V6 (364 Hp) Hybrid AWD Automatic,2013 year,FHEV (Full Hybrid Electric Vehicle),Sedan,5,4,Performance specs,9.6 l/100 km  24.5 US mpg29.43 UK mpg10.42 km/l,5.3 l/100 km  44.38 US mpg53.3 UK mpg18.87 km/l,6.8 l/100 km  34.59 US mpg41.54 UK mpg14.71 km/l,159 g/km,Petrol (Gasoline),"5.1 kg/Hp, 196.4 Hp/tonne","5.3 kg/Nm, 188.9 Nm/tonne",Engine specs,364 Hp @ 6500 rpm.,104.1 Hp/l,350 Nm @ 5200 rpm.  258.15 lb.-ft. @ 5200 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Direct injection,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1853 kg  4085.17 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R17,17,2017 year,5.4 sec,5.4 sec,5.1 sec,250 km/h  155.34 mph,,4,,510 l  18.01 cu. ft.,,Dimensions,4783 mm  188.31 in.,1824 mm  71.81 in.,1443 mm  56.81 in.,2850 mm  112.2 in.,1519 mm  59.8 in.,1529 mm  60.2 in.,7,Steering rack and pinion,VQ35HR,95.5 mm  3.76 in.,81.4 mm  3.2 in.,10,,,,,,,,Electric Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50,S 3.5 V6 (364 Hp) Hybrid Automatic,2013 year,FHEV (Full Hybrid Electric Vehicle),Sedan,5,4,Performance specs,8.2 l/100 km  28.68 US mpg34.45 UK mpg12.2 km/l,5.1 l/100 km  46.12 US mpg55.39 UK mpg19.61 km/l,6.2 l/100 km  37.94 US mpg45.56 UK mpg16.13 km/l,144 g/km,Petrol (Gasoline),"4.9 kg/Hp, 205.1 Hp/tonne","5.1 kg/Nm, 197.2 Nm/tonne",Engine specs,364 Hp @ 6500 rpm.,104.1 Hp/l,350 Nm @ 5200 rpm.  258.15 lb.-ft. @ 5200 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Direct injection,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1775 kg  3913.21 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) and electric motor drive the rear wheels of the car with the ability to work in full electric or mixed mode.,Rear wheel drive,Double wishbone,"Independent, spring multi-link with stabilizer",Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R17,17,2017 year,5.1 sec,5.1 sec,4.8 sec,250 km/h  155.34 mph,,4,,510 l  18.01 cu. ft.,,Dimensions,4783 mm  188.31 in.,1824 mm  71.81 in.,1443 mm  56.81 in.,2850 mm  112.2 in.,1519 mm  59.8 in.,1529 mm  60.2 in.,7,Steering rack and pinion,VQ35HR,95.5 mm  3.76 in.,81.4 mm  3.2 in.,10,,,,,,,,Electric Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,Q50,Q50,S 3.0 V6 (405 Hp) Automatic,2016 year,Internal Combustion engine,Sedan,5,4,Performance specs,13.3 l/100 km  17.69 US mpg21.24 UK mpg7.52 km/l,6.7 l/100 km  35.11 US mpg42.16 UK mpg14.93 km/l,9.1 l/100 km  25.85 US mpg31.04 UK mpg10.99 km/l,206 g/km,Petrol (Gasoline),"4.2 kg/Hp, 236.6 Hp/tonne","3.6 kg/Nm, 277.5 Nm/tonne",Engine specs,405 Hp @ 6400 rpm.,135.1 Hp/l,475 Nm @ 1600-5200 rpm.  350.34 lb.-ft. @ 1600-5200 rpm.,"Front, Longitudinal",2997 cm3 182.89 cu. in.,6,V-engine,Direct injection,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1712 kg  3774.31 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Double wishbone,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,2017 year,5.1 sec,5.1 sec,4.8 sec,250 km/h  155.34 mph,Euro 6 b,,,500 l  17.66 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4800 mm  188.98 in.,,1430 mm  56.3 in.,2850 mm  112.2 in.,1535-1545 mm  60.43 - 60.83 in.,1555-1565 mm  61.22 - 61.61 in.,7,Steering rack and pinion,,,,,,,,,,,11.2 m  36.75 ft.,Electric Steering,,,,0.28,,,,,,,,,1500 kg  3306.93 lbs.,,,,750 kg  1653.47 lbs.,2084 mm  82.05 in.,,,1820 mm  71.65 in.,,,,,,,,,,,,,,,,,,
