Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine displacement,Number of cylinders,Position of cylinders,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Ride height (ground clearance),Approach angle,Departure angle,Ramp angle,"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Wheel rims size,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Engine location,Electric motor 2,System power,System torque,Internal combustion engine specs,Fuel System,Max. weight,Max load,Trunk (boot) space - minimum,Width including mirrors,Drag coefficient (Cd),Tires size,Electric motor power,Electric motor Torque,Minimum turning circle (turning diameter),End of production,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Cylinder Bore,Piston Stroke,Compression ratio,Number of valves per cylinder,Valvetrain,Drivetrain Architecture,Number of Gears (manual transmission),Trunk (boot) space - maximum,Emission standard,Engine systems,CO2 emissions,Engine Model/Code,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Max. roof load,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Permitted towbar download,Front overhang,Rear overhang,Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Engine oil capacity,Oil viscosity,AdBlue tank,Battery voltage,Battery technology,All-electric range (WLTP),"All-electric range (NEDC, WLTP equivalent)",Average Energy consumption (WLTP),"Average Energy consumption (NEDC, WLTP equivalent)",Max speed (electric),Coolant,Acceleration 0 - 60 mph,Engine oil specification,Net (usable) battery capacity,Average Energy consumption,100 km/h - 0,Fuel consumption (economy) - urban (LPG),Fuel consumption (economy) - extra urban (LPG),Fuel consumption (economy) - combined (LPG),CO2 emissions (LPG),Maximum speed (LPG),Fuel tank capacity (LPG),Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Acceleration 0 - 200 km/h,Maximum engine speed,Electric motor 3,Power (Ethanol - E85),Acceleration 0 - 300 km/h
Kia,Carens,Carens I,1.8i 16V (126 Hp) Automatic,2002 year,Internal Combustion engine,MPV,7,5,Performance specs,Petrol (Gasoline),170 km/h  105.63 mph,"11.6 kg/Hp, 86.2 Hp/tonne","9 kg/Nm, 110.8 Nm/tonne",Engine specs,126 Hp @ 6000 rpm.,70.3 Hp/l,162 Nm @ 4900 rpm.  119.49 lb.-ft. @ 4900 rpm.,1793 cm3 109.42 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1462 kg  3223.16 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4493 mm  176.89 in.,1748 mm  68.82 in.,1609 mm  63.35 in.,2560 mm  100.79 in.,1490 mm  58.66 in.,1483 mm  58.39 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Spring Strut,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,15,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1880 kg  4144.69 lbs.,418 kg  921.53 lbs.,422 l  14.9 cu. ft.,,,195/60 R15,,,,2006 year,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,7.2 l/100 km  32.67 US mpg39.23 UK mpg13.89 km/l,9.1 l/100 km  25.85 US mpg31.04 UK mpg10.99 km/l,15 sec,15 sec,14.3 sec,81 mm  3.19 in.,87 mm  3.43 in.,9.5,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,1632 l  57.63 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carens,Carens I,1.8i 16V (126 Hp),2002 year,Internal Combustion engine,MPV,7,5,Performance specs,Petrol (Gasoline),177 km/h  109.98 mph,"11.6 kg/Hp, 86.2 Hp/tonne","9 kg/Nm, 110.8 Nm/tonne",Engine specs,126 Hp @ 6000 rpm.,70.3 Hp/l,162 Nm @ 4900 rpm.  119.49 lb.-ft. @ 4900 rpm.,1793 cm3 109.42 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1462 kg  3223.16 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4493 mm  176.89 in.,1748 mm  68.82 in.,1609 mm  63.35 in.,2560 mm  100.79 in.,1490 mm  58.66 in.,1483 mm  58.39 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Spring Strut,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,15,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1880 kg  4144.69 lbs.,418 kg  921.53 lbs.,422 l  14.9 cu. ft.,,,195/60 R15,,,,2006 year,10.2 l/100 km  23.06 US mpg27.69 UK mpg9.8 km/l,6.8 l/100 km  34.59 US mpg41.54 UK mpg14.71 km/l,8.1 l/100 km  29.04 US mpg34.87 UK mpg12.35 km/l,12 sec,12 sec,11.4 sec,81 mm  3.19 in.,87 mm  3.43 in.,9.5,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,1632 l  57.63 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carens,Carens I,1.8i 16V (109 Hp) Automatic,1999 year,Internal Combustion engine,MPV,7,5,Performance specs,Petrol (Gasoline),173 km/h  107.5 mph,"11.6 kg/Hp, 86.2 Hp/tonne","8.3 kg/Nm, 120.3 Nm/tonne",Engine specs,109 Hp @ 5750 rpm.,60.8 Hp/l,152 Nm @ 4500 rpm.  112.11 lb.-ft. @ 4500 rpm.,1793 cm3 109.42 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1264 kg  2786.64 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4439 mm  174.76 in.,1709 mm  67.28 in.,1603 mm  63.11 in.,2555 mm  100.59 in.,1470 mm  57.87 in.,1470 mm  57.87 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Spring Strut,Helical spring,Ventilated discs,Drum,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,14,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1750 kg  3858.09 lbs.,486 kg  1071.45 lbs.,605 l  21.37 cu. ft.,,,185/65 R14,,,,2002 year,11.7 l/100 km  20.1 US mpg24.14 UK mpg8.55 km/l,7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,13.1 sec,13.1 sec,12.4 sec,81 mm  3.19 in.,87 mm  3.43 in.,9.5,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,1752 l  61.87 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carens,Carens I,1.8i 16V (109 Hp),1999 year,Internal Combustion engine,MPV,7,5,Performance specs,Petrol (Gasoline),185 km/h  114.95 mph,"11.6 kg/Hp, 86.2 Hp/tonne","8.3 kg/Nm, 120.3 Nm/tonne",Engine specs,109 Hp @ 5750 rpm.,60.8 Hp/l,152 Nm @ 4500 rpm.  112.11 lb.-ft. @ 4500 rpm.,1793 cm3 109.42 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1264 kg  2786.64 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4439 mm  174.76 in.,1709 mm  67.28 in.,1603 mm  63.11 in.,2555 mm  100.59 in.,1470 mm  57.87 in.,1470 mm  57.87 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Spring Strut,Helical spring,Ventilated discs,Drum,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,14,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1750 kg  3858.09 lbs.,486 kg  1071.45 lbs.,605 l  21.37 cu. ft.,,,185/65 R14,,,,2002 year,11.7 l/100 km  20.1 US mpg24.14 UK mpg8.55 km/l,7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,13.1 sec,13.1 sec,12.4 sec,81 mm  3.19 in.,87 mm  3.43 in.,9.5,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,1752 l  61.87 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carens,Carens I,1.6 i 16V (105 Hp),2002 year,Internal Combustion engine,MPV,7,5,Performance specs,Petrol (Gasoline),170 km/h  105.63 mph,"13.5 kg/Hp, 73.8 Hp/tonne","10.1 kg/Nm, 99.2 Nm/tonne",Engine specs,105 Hp @ 5800 rpm.,65.9 Hp/l,141 Nm @ 4700 rpm.  104 lb.-ft. @ 4700 rpm.,1594 cm3 97.27 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1422 kg  3134.97 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4493 mm  176.89 in.,1748 mm  68.82 in.,1609 mm  63.35 in.,2560 mm  100.79 in.,1490 mm  58.66 in.,1483 mm  58.39 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Spring Strut,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1830 kg  4034.46 lbs.,408 kg  899.49 lbs.,422 l  14.9 cu. ft.,,,185/65 R14,,,,2006 year,10.6 l/100 km  22.19 US mpg26.65 UK mpg9.43 km/l,6.8 l/100 km  34.59 US mpg41.54 UK mpg14.71 km/l,8.1 l/100 km  29.04 US mpg34.87 UK mpg12.35 km/l,13.5 sec,13.5 sec,12.8 sec,78 mm  3.07 in.,83.4 mm  3.28 in.,9.5,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,1632 l  57.63 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,3.5i Smartstream V6 (294 Hp) Automatic 9 Seat,"June, 2020 year",Internal Combustion engine,Minivan,9,5,Performance specs,Petrol (Gasoline),,"6.8 kg/Hp, 147 Hp/tonne","5.6 kg/Nm, 177.5 Nm/tonne",Engine specs,294 Hp @ 6400 rpm.,84.7 Hp/l,355 Nm @ 5200 rpm.  261.83 lb.-ft. @ 5200 rpm.,3470 cm3 211.75 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2000 kg  4409.25 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1741-1746 mm  68.54 - 68.74 in.,1741-1746 mm  68.54 - 68.74 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,18; 19,,,,,"Front, Longitudinal",,,,,Direct injection,,,,,,235/60 R18; 235/55 R19,,,,,12.5 l/100 km  18.82 US mpg22.6 UK mpg8 km/l,9.1-9.2 l/100 km  25.85 - 25.57 US mpg31.04 - 30.7 UK mpg10.99 - 10.87 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,187-188 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,3.5i Smartstream V6 (294 Hp) Automatic 7 Seat,"June, 2020 year",Internal Combustion engine,Minivan,7,5,Performance specs,Petrol (Gasoline),,"7 kg/Hp, 142.4 Hp/tonne","5.8 kg/Nm, 171.9 Nm/tonne",Engine specs,294 Hp @ 6400 rpm.,84.7 Hp/l,355 Nm @ 5200 rpm.  261.83 lb.-ft. @ 5200 rpm.,3470 cm3 211.75 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2065 kg  4552.55 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1741 mm  68.54 in.,1741 mm  68.54 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,19,,,,,"Front, Longitudinal",,,,,Direct injection,,,,,,235/55 R19,,,,,12.8 l/100 km  18.38 US mpg22.07 UK mpg7.81 km/l,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,192-193 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,3.5i Smartstream V6 (294 Hp) Automatic 11 Seat,"June, 2020 year",Internal Combustion engine,Minivan,11,5,Performance specs,Petrol (Gasoline),,"7 kg/Hp, 143.8 Hp/tonne","5.8 kg/Nm, 173.6 Nm/tonne",Engine specs,294 Hp @ 6400 rpm.,84.7 Hp/l,355 Nm @ 5200 rpm.  261.83 lb.-ft. @ 5200 rpm.,3470 cm3 211.75 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2045 kg  4508.45 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1746 mm  68.74 in.,1746 mm  68.74 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,18,,,,,"Front, Longitudinal",,,,,Direct injection,,,,,,235/60 R18,,,,,12.5 l/100 km  18.82 US mpg22.6 UK mpg8 km/l,9.1-9.2 l/100 km  25.85 - 25.57 US mpg31.04 - 30.7 UK mpg10.99 - 10.87 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,188 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,2.2d Smartstream (202 Hp) Automatic 9 Seat,"June, 2020 year",Internal Combustion engine,Minivan,9,5,Performance specs,Diesel,,"10 kg/Hp, 99.5 Hp/tonne","4.6 kg/Nm, 217.2 Nm/tonne",Engine specs,202 Hp @ 3800 rpm.,93.9 Hp/l,441 Nm @ 1750-2750 rpm.  325.26 lb.-ft. @ 1750-2750 rpm.,2151 cm3 131.26 cu. in.,4,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2030 kg  4475.38 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1741-1746 mm  68.54 - 68.74 in.,1741-1746 mm  68.54 - 68.74 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,18; 19,,,,,"Front, Longitudinal",,,,,Diesel Commonrail,,,,,,235/60 R18; 235/55 R19,,,,,8.5 l/100 km  27.67 US mpg33.23 UK mpg11.76 km/l,6.6-6.7 l/100 km  35.64 - 35.11 US mpg42.8 - 42.16 UK mpg15.15 - 14.93 km/l,7.6-7.7 l/100 km  30.95 - 30.55 US mpg37.17 - 36.69 UK mpg13.16 - 12.99 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,146-147 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,2.2d Smartstream (202 Hp) Automatic 7 Seat,"June, 2020 year",Internal Combustion engine,Minivan,7,5,Performance specs,Diesel,,"10.4 kg/Hp, 96.4 Hp/tonne","4.8 kg/Nm, 210.5 Nm/tonne",Engine specs,202 Hp @ 3800 rpm.,93.9 Hp/l,441 Nm @ 1750-2750 rpm.  325.26 lb.-ft. @ 1750-2750 rpm.,2151 cm3 131.26 cu. in.,4,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2095 kg  4618.68 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1741 mm  68.54 in.,1741 mm  68.54 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,19,,,,,"Front, Longitudinal",,,,,Diesel Commonrail,,,,,,235/55 R19,,,,,8.8 l/100 km  26.73 US mpg32.1 UK mpg11.36 km/l,6.9-7 l/100 km  34.09 - 33.6 US mpg40.94 - 40.35 UK mpg14.49 - 14.29 km/l,7.9-8 l/100 km  29.77 - 29.4 US mpg35.76 - 35.31 UK mpg12.66 - 12.5 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,153 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Carnival IV,2.2d Smartstream (202 Hp) Automatic 11 Seat,"June, 2020 year",Internal Combustion engine,Minivan,11,5,Performance specs,Diesel,,"10.3 kg/Hp, 97.3 Hp/tonne","4.7 kg/Nm, 212.5 Nm/tonne",Engine specs,202 Hp @ 3800 rpm.,93.9 Hp/l,441 Nm @ 1750-2750 rpm.  325.26 lb.-ft. @ 1750-2750 rpm.,2151 cm3 131.26 cu. in.,4,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2075 kg  4574.59 lbs.,,Dimensions,5155 mm  202.95 in.,1995 mm  78.54 in.,1740 mm  68.5 in.,3090 mm  121.65 in.,1746 mm  68.74 in.,1746 mm  68.74 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,Independent type McPherson,Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,18,,,,,"Front, Longitudinal",,,,,Diesel Commonrail,,,,,,235/60 R18,,,,,8.7-8.9 l/100 km  27.04 - 26.43 US mpg32.47 - 31.74 UK mpg11.49 - 11.24 km/l,6.8-6.9 l/100 km  34.59 - 34.09 US mpg41.54 - 40.94 UK mpg14.71 - 14.49 km/l,7.9-8.1 l/100 km  29.77 - 29.04 US mpg35.76 - 34.87 UK mpg12.66 - 12.35 km/l,,,,,,,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,Start & Stop System,151-154 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Grand Carnival III (facelift 2018),3.3 V6 (270 Hp) Automatic,2018 year,Internal Combustion engine,Minivan,8-11,5,Performance specs,Petrol (Gasoline),,,,Engine specs,270 Hp @ 6400 rpm.,80.8 Hp/l,,3342 cm3 203.94 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,80 l  21.13 US gal | 17.6 UK gal,Dimensions,5115 mm  201.38 in.,1985 mm  78.15 in.,1740 mm  68.5 in.,3060 mm  120.47 in.,1740-1745 mm  68.5 - 68.7 in.,1747-1752 mm  68.78 - 68.98 in.,171 mm  6.73 in.,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,6 Sportmatic,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),,,17; 18,,,,,"Front, Longitudinal",,,,,Multi-point indirect injection,,,,,,235/65 R17; 235/60 R18,,,,2020 year,,,,,,,92 mm  3.62 in.,83.8 mm  3.3 in.,10.69,,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,Lambda II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Grand Carnival III,3.3 V6 (270 Hp) Automatic,2014 year,Internal Combustion engine,Minivan,8-11,5,Performance specs,Petrol (Gasoline),190 km/h  118.06 mph,"7.3 kg/Hp, 137.2 Hp/tonne","6.2 kg/Nm, 161.6 Nm/tonne",Engine specs,270 Hp @ 6400 rpm.,80.8 Hp/l,318 Nm @ 5200 rpm.  234.54 lb.-ft. @ 5200 rpm.,3342 cm3 203.94 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1968-2046 kg  4338.7 - 4510.66 lbs.,,Dimensions,5115 mm  201.38 in.,1985 mm  78.15 in.,1740-1767 mm  68.5 - 69.57 in.,3060 mm  120.47 in.,1745 mm  68.7 in.,1752 mm  68.98 in.,171 mm  6.73 in.,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,6,"Independent, Spring McPherson, with stabilizer",Double wishbone,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,17,,,,,"Front, Longitudinal",,,,,Multi-point indirect injection,2990 kg  6591.82 lbs.,944-1022 kg  2081.16 - 2253.12 lbs.,359 l  12.68 cu. ft.,,,235/65 R17,,,11.2 m  36.75 ft.,2018 year,14.9 l/100 km  15.79 US mpg18.96 UK mpg6.71 km/l,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,11.1 l/100 km  21.19 US mpg25.45 UK mpg9.01 km/l,8.6 sec,8.6 sec,8.2 sec,92 mm  3.62 in.,83.8 mm  3.3 in.,10.69,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,2335 l  82.46 cu. ft.,Euro 5,,257 g/km,,,,,,,,,,955 mm  37.6 in.,1100 mm  43.31 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Grand Carnival III,2.2 CRDi (200 Hp) Automatic,2014 year,Internal Combustion engine,Minivan,8-11,5,Performance specs,Diesel,190 km/h  118.06 mph,"10.1 kg/Hp, 98.8 Hp/tonne","4.6 kg/Nm, 217.4 Nm/tonne",Engine specs,200 Hp @ 3800 rpm.,91 Hp/l,440 Nm @ 1750-2750 rpm.  324.53 lb.-ft. @ 1750-2750 rpm.,2199 cm3 134.19 cu. in.,4,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2024-2102 kg  4462.16 - 4634.12 lbs.,,Dimensions,5115 mm  201.38 in.,1985 mm  78.15 in.,1740-1767 mm  68.5 - 69.57 in.,3060 mm  120.47 in.,1745 mm  68.7 in.,1752 mm  68.98 in.,171 mm  6.73 in.,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,6,"Independent, Spring McPherson, with stabilizer",Double wishbone,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,17,,,,,"Front, Longitudinal",,,,,Diesel Commonrail,3045 kg  6713.08 lbs.,943-1021 kg  2078.96 - 2250.92 lbs.,359 l  12.68 cu. ft.,,,235/65 R17,,,11.2 m  36.75 ft.,2018 year,9.7 l/100 km  24.25 US mpg29.12 UK mpg10.31 km/l,6.4 l/100 km  36.75 US mpg44.14 UK mpg15.63 km/l,7.7 l/100 km  30.55 US mpg36.69 UK mpg12.99 km/l,13.6 sec,13.6 sec,12.9 sec,85.4 mm  3.36 in.,96 mm  3.78 in.,16,4,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,2335 l  82.46 cu. ft.,Euro 5,Particulate filter,199 g/km,,,,,,,,,,955 mm  37.6 in.,1100 mm  43.31 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Grand Carnival II (facelift 2010),3.5 V6 (275 Hp) Automatic,2010 year,Internal Combustion engine,Minivan,7,5,Performance specs,Petrol (Gasoline),,"7.6 kg/Hp, 131 Hp/tonne","6.3 kg/Nm, 160 Nm/tonne",Engine specs,275 Hp @ 6300 rpm.,79.3 Hp/l,336 Nm @ 4500 rpm.  247.82 lb.-ft. @ 4500 rpm.,3470 cm3 211.75 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2100 kg  4629.71 lbs.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,5130 mm  201.97 in.,1985 mm  78.15 in.,1760 mm  69.29 in.,3020 mm  118.9 in.,1685 mm  66.34 in.,1685 mm  66.34 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,6,McPherson,dependent spring suspension with transverse steering rod,Ventilated discs,Drum,ABS (Anti-lock braking system),Steering rack and pinion,,16,,,,,"Front, Transverse",,,,,Multi-point indirect injection,,,912 l  32.21 cu. ft.,,0.34,225/70 R16,,,12.1 m  39.7 ft.,2014 year,,,,,,,92 mm  3.62 in.,87 mm  3.43 in.,,4,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,4007 l  141.51 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Carnival,Grand Carnival II (facelift 2010),2.9 CRDi (185 Hp) Automatic,2010 year,Internal Combustion engine,Minivan,7,5,Performance specs,Diesel,,"11.5 kg/Hp, 86.8 Hp/tonne","6.2 kg/Nm, 160.9 Nm/tonne",Engine specs,185 Hp @ 3800 rpm.,63.7 Hp/l,343 Nm @ 1750-3500 rpm.  252.98 lb.-ft. @ 1750-3500 rpm.,2902 cm3 177.09 cu. in.,4,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2132 kg  4700.26 lbs.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,5130 mm  201.97 in.,1985 mm  78.15 in.,1775 mm  69.88 in.,3020 mm  118.9 in.,1685 mm  66.34 in.,1685 mm  66.34 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,5,McPherson,dependent spring suspension with transverse steering rod,Ventilated discs,Drum,ABS (Anti-lock braking system),Steering rack and pinion,,17,,,,,"Front, Transverse",,,,,Diesel Commonrail,2920 kg  6437.5 lbs.,788 kg  1737.24 lbs.,912 l  32.21 cu. ft.,,0.34,235/60 R17,,,12.1 m  39.7 ft.,2014 year,,,,,,,97.1 mm  3.82 in.,98 mm  3.86 in.,18,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,4007 l  141.51 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
