Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,Valvetrain,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Tires size,Wheel rims size,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Acceleration 0 - 200 km/h,Maximum speed,End of production,Cylinder Bore,Piston Stroke,Number of Gears (manual transmission),Maximum engine speed,Compression ratio,Fuel tank capacity,Max. weight,Max load,Trunk (boot) space - minimum,Minimum turning circle (turning diameter),Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,Electric motor 2,System power,System torque,Internal combustion engine specs,Engine Model/Code,Ride height (ground clearance),Approach angle,Departure angle,Emission standard,Engine systems,Wading depth
Wartburg,353,353,1.0 (50 Hp),1969 year,Internal Combustion engine,Sedan,5,4,Performance specs,,,,,Mixture of two stroke engine,"18.4 kg/Hp, 54.3 Hp/tonne",,Engine specs,50 Hp,50.4 Hp/l,,"Front, Transverse",992 cm3 60.54 cu. in.,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",920 kg  2028.25 lbs.,Dimensions,4220 mm  166.14 in.,1640 mm  64.57 in.,1495 mm  58.86 in.,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,,,Disc,Drum,,,,170/70 R13,13,20 sec,20 sec,19 sec,,150 km/h  93.21 mph,1975 year,,,4,,,,1320 kg  2910.1 lbs.,400 kg  881.85 lbs.,525 l  18.54 cu. ft.,10.2 m  33.46 ft.,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.0 (45 Hp),1966 year,Internal Combustion engine,Sedan,5,4,Performance specs,,,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,,Mixture of two stroke engine,"21.3 kg/Hp, 46.9 Hp/tonne","9.8 kg/Nm, 102.1 Nm/tonne",Engine specs,45 Hp @ 4250 rpm.,45.3 Hp/l,98 Nm @ 3000 rpm.  72.28 lb.-ft. @ 3000 rpm.,"Front, Transverse",993 cm3 60.6 cu. in.,3,,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",960 kg  2116.44 lbs.,Dimensions,4220 mm  166.14 in.,1640 mm  64.57 in.,1495 mm  58.86 in.,2450 mm  96.46 in.,1260 mm  49.61 in.,1300 mm  51.18 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,,,Disc,Drum,,,,170/70 R13,13,,,,,120 km/h  74.56 mph,1969 year,73.5 mm  2.89 in.,78 mm  3.07 in.,4,,7.5,,1320 kg  2910.1 lbs.,360 kg  793.66 lbs.,525 l  18.54 cu. ft.,10.2 m  33.46 ft.,,,,,,,,,,,,,,,,,
Wartburg,353,353,1.0 (353 W 000) (50 Hp),1975 year,Internal Combustion engine,Sedan,5,4,Performance specs,10 l/100 km  23.52 US mpg28.25 UK mpg10 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,,,Mixture of two stroke engine,,,Engine specs,50 Hp,50.1 Hp/l,,"Front, Longitudinal",999 cm3 60.96 cu. in.,3,Inline,,Carburettor,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,,McPherson,"Independent, spring",Disc,Drum,,Steering rack and pinion,,165/70 R13,13,,,,,160 km/h  99.42 mph,1988 year,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Westfield,Westfield,Westfield,4.0 i V8 (200 Hp),1995 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,13 l/100 km  18.09 US mpg21.73 UK mpg7.69 km/l,8 l/100 km  29.4 US mpg35.31 UK mpg12.5 km/l,,,Petrol (Gasoline),"3 kg/Hp, 333.3 Hp/tonne","1.9 kg/Nm, 531.7 Nm/tonne",Engine specs,200 Hp @ 4750 rpm.,50.6 Hp/l,319 Nm @ 2600 rpm.  235.28 lb.-ft. @ 2600 rpm.,,3951 cm3 241.1 cu. in.,8,V-engine,,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",600 kg  1322.77 lbs.,Dimensions,3520 mm  138.58 in.,1550 mm  61.02 in.,,2360 mm  92.91 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Coil spring,Helical spring,Disc,Disc,,Steering rack and pinion,,205/50 R15,15,4.5 sec,4.5 sec,4.3 sec,,222 km/h  137.94 mph,2001 year,94.04 mm  3.7 in.,71.1 mm  2.8 in.,5,,9.35,50 l  13.21 US gal | 11 UK gal,850 kg  1873.93 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,,,
Westfield,Westfield,Westfield,1.8 i 16V (116 Hp),1998 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,,,Petrol (Gasoline),"5.2 kg/Hp, 193.3 Hp/tonne","3.7 kg/Nm, 270 Nm/tonne",Engine specs,116 Hp @ 6250 rpm.,64.6 Hp/l,162 Nm @ 4250 rpm.  119.49 lb.-ft. @ 4250 rpm.,,1796 cm3 109.6 cu. in.,4,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",600 kg  1322.77 lbs.,Dimensions,3520 mm  138.58 in.,1550 mm  61.02 in.,,2360 mm  92.91 in.,1310 mm  51.57 in.,1310 mm  51.57 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Coil spring,Helical spring,Disc,Disc,,Steering rack and pinion,,185/60 R15,15,6.6 sec,6.6 sec,6.3 sec,,177 km/h  109.98 mph,2001 year,80.6 mm  3.17 in.,88 mm  3.46 in.,5,,10,50 l  13.21 US gal | 11 UK gal,850 kg  1873.93 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,,,
WEY,P8,P8,2.0 T (340 Hp) Plug-in Hybrid AWD DCT,2017 year,PHEV (Plug-in Hybrid Electric Vehicle),SUV,5,5,Performance specs,,,2.3 l/100 km  102.27 US mpg122.82 UK mpg43.48 km/l,,petrol / electricity,,,,234 Hp @ 5500 rpm.,,360 Nm @ 2200-4000 rpm.  265.52 lb.-ft. @ 2200-4000 rpm.,,,,,,Direct injection,Turbocharger,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4760 mm  187.4 in.,1931 mm  76.02 in.,1655 mm  65.16 in.,2950 mm  116.14 in.,,,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),6 DCT,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,235/55 R20,20,6.5 sec,6.5 sec,6.2 sec,,230 km/h  142.92 mph,,,,,,,45 l  11.89 US gal | 9.9 UK gal,,,,,Electric cars and hybrids specs,12.96 kWh,50 km  31.07 mi,Electric motor 1,20 Hp,50 Nm  36.88 lb.-ft.,Electric motor 2,340 Hp,524 Nm  386.48 lb.-ft.,Internal combustion engine specs,GW4C20A,180 mm  7.09 in.,20°,25°,,,
WEY,Tank 300,Tank 300,2.0T (227 Hp) 4WD Automatic,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,,,9.3 l/100 km  25.29 US mpg30.37 UK mpg10.75 km/l,,Petrol (Gasoline),,,Engine specs,227 Hp @ 5500 rpm.,115.4 Hp/l,387 Nm @ 1800-3600 rpm.  285.44 lb.-ft. @ 1800-3600 rpm.,"Front, Longitudinal",1967 cm3 120.03 cu. in.,4,Inline,4,Direct injection,Turbocharger,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4760 mm  187.4 in.,1930 mm  75.98 in.,1927 mm  75.87 in.,2750 mm  108.27 in.,1608 mm  63.31 in.,1608 mm  63.31 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) drives the rear wheels permanently, and the front wheels are driven through an electrically or mechanically operated clutch if necessary.",All wheel drive (4x4),8,Double wishbone,Independent multi-link,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,265/65 R17,17,9.5 sec,9.5 sec,9 sec,,,2021 year,,,,,,80 l  21.13 US gal | 17.6 UK gal,,,,,,,,,,,,,,,E20CB,224 mm  8.82 in.,36.3°,37.2°,Euro 6,Start & Stop System,900 mm  35.43 in.
WEY,VV5,VV5,2.0 Turbo (197 Hp) AWD Automatic,2017 year,Internal Combustion engine,SUV,5,5,Performance specs,,,7.8 l/100 km  30.16 US mpg36.22 UK mpg12.82 km/l,,Petrol (Gasoline),,,Engine specs,197 Hp @ 5200-5500 rpm.,100.2 Hp/l,355 Nm @ 2000-3200 rpm.  261.83 lb.-ft. @ 2000-3200 rpm.,,1967 cm3 120.03 cu. in.,,,,Direct injection,Turbocharger,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4462 mm  175.67 in.,1857 mm  73.11 in.,1638 mm  64.49 in.,2680 mm  105.51 in.,,,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),7,McPherson,Multi-link independent,Ventilated discs,Ventilated discs,,Steering rack and pinion,Electric Steering,235/55 R19; 245/45 R20,19; 20,8.9 sec,8.9 sec,8.5 sec,,190 km/h  118.06 mph,,,,,,,57 l  15.06 US gal | 12.54 UK gal,,,,,,,,,,,,,,,4C20NT,170 mm  6.69 in.,,,,,
WEY,VV7,VV7,S 2.0 Turbo (234 Hp) AWD Automatic,2017 year,Internal Combustion engine,SUV,5,5,Performance specs,,,8 l/100 km  29.4 US mpg35.31 UK mpg12.5 km/l,,Petrol (Gasoline),,,Engine specs,234 Hp @ 5500 rpm.,119 Hp/l,360 Nm @ 2200-4000 rpm.  265.52 lb.-ft. @ 2200-4000 rpm.,,1967 cm3 120.03 cu. in.,4,Inline,,Direct injection,Turbocharger,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4765 mm  187.6 in.,1931 mm  76.02 in.,1655 mm  65.16 in.,2950 mm  116.14 in.,,,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),7,Independent type McPherson,Multi-link independent,Ventilated discs,Ventilated discs,,Steering rack and pinion,Electric Steering,,,9.8 sec,9.8 sec,9.3 sec,,205 km/h  127.38 mph,,,,,,,65 l  17.17 US gal | 14.3 UK gal,,,,,,,,,,,,,,,4C20A,211 mm  8.31 in.,,,,,
Wiesmann,GT,GT MF5,4.4 V8 (555 Hp) Automatic,2009 year,Internal Combustion engine,Coupe,2,2,Performance specs,18.7 l/100 km  12.58 US mpg15.11 UK mpg5.35 km/l,9.5 l/100 km  24.76 US mpg29.73 UK mpg10.53 km/l,12.9 l/100 km  18.23 US mpg21.9 UK mpg7.75 km/l,299 g/km,Petrol (Gasoline),"2.6 kg/Hp, 377.6 Hp/tonne","2.2 kg/Nm, 462.6 Nm/tonne",Engine specs,555 Hp @ 5750-6250 rpm.,126.3 Hp/l,680 Nm @ 1500-5650 rpm.  501.54 lb.-ft. @ 1500-5650 rpm.,"Front, Longitudinal",4395 cm3 268.2 cu. in.,8,V-engine,,,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1470 kg  3240.8 lbs.,Dimensions,4220 mm  166.14 in.,1950 mm  76.77 in.,1180 mm  46.46 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/40 R19; 275/35 R19,8.5J x 19; 10; 0J x 19,3.9 sec,3.9 sec,3.7 sec,,311 km/h  193.25 mph,2014 year,89 mm  3.5 in.,88.3 mm  3.48 in.,,,9.3,70 l  18.49 US gal | 15.4 UK gal,1680 kg  3703.77 lbs.,210 kg  462.97 lbs.,,,,,,,,,,,,,,,,,Euro 5,,
