Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,Valvetrain,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Tires size,Wheel rims size,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Acceleration 0 - 200 km/h,Maximum speed,End of production,Cylinder Bore,Piston Stroke,Number of Gears (manual transmission),Maximum engine speed,Compression ratio,Fuel tank capacity,Max. weight,Max load,Trunk (boot) space - minimum,Minimum turning circle (turning diameter),Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,Electric motor 2,System power,System torque,Internal combustion engine specs,Engine Model/Code,Ride height (ground clearance),Approach angle,Departure angle,Emission standard,Engine systems,Wading depth
Wiesmann,GT,GT MF4,S 4.0 V8 (420 Hp) Automatic,2003 year,Internal Combustion engine,Coupe,2,2,Performance specs,17.2 l/100 km  13.68 US mpg16.42 UK mpg5.81 km/l,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,275 g/km,Petrol (Gasoline),"3.3 kg/Hp, 306.6 Hp/tonne","3.4 kg/Nm, 292 Nm/tonne",Engine specs,420 Hp @ 8300 rpm.,105 Hp/l,400 Nm @ 3900 rpm.  295.02 lb.-ft. @ 3900 rpm.,"Front, Longitudinal",3999 cm3 244.03 cu. in.,8,V-engine,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1370 kg  3020.33 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.4 sec,4.4 sec,4.2 sec,,293 km/h  182.06 mph,2014 year,92 mm  3.62 in.,75.2 mm  2.96 in.,,,12,70 l  18.49 US gal | 15.4 UK gal,1620 kg  3571.49 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,GT,GT MF4,S 4.0 V8 (420 Hp),2003 year,Internal Combustion engine,Coupe,2,2,Performance specs,17.2 l/100 km  13.68 US mpg16.42 UK mpg5.81 km/l,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,295 g/km,Petrol (Gasoline),"3.3 kg/Hp, 306.6 Hp/tonne","3.4 kg/Nm, 292 Nm/tonne",Engine specs,420 Hp @ 8300 rpm.,105 Hp/l,400 Nm @ 3900 rpm.  295.02 lb.-ft. @ 3900 rpm.,"Front, Longitudinal",3999 cm3 244.03 cu. in.,8,V-engine,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1370 kg  3020.33 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.4 sec,4.4 sec,4.2 sec,,293 km/h  182.06 mph,2014 year,92 mm  3.62 in.,75.2 mm  2.96 in.,6,,12,70 l  18.49 US gal | 15.4 UK gal,1620 kg  3571.49 lbs.,250 kg  551.16 lbs.,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,GT,GT MF4,4.4 V8 (407 Hp) Automatic,2003 year,Internal Combustion engine,Coupe,2,2,Performance specs,17.2 l/100 km  13.68 US mpg16.42 UK mpg5.81 km/l,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,285 g/km,Petrol (Gasoline),"3.6 kg/Hp, 279.7 Hp/tonne","2.4 kg/Nm, 412.4 Nm/tonne",Engine specs,407 Hp @ 5500-6400 rpm.,92.6 Hp/l,600 Nm @ 1750-4500 rpm.  442.54 lb.-ft. @ 1750-4500 rpm.,"Front, Longitudinal",4395 cm3 268.2 cu. in.,8,V-engine,,,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1455 kg  3207.73 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.6 sec,4.6 sec,4.4 sec,,291 km/h  180.82 mph,2014 year,89 mm  3.5 in.,88.3 mm  3.48 in.,,,10,70 l  18.49 US gal | 15.4 UK gal,1660 kg  3659.67 lbs.,205 kg  451.95 lbs.,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,Roadster,Roadster MF5,4.4 V8 (555 Hp) Automatic,2009 year,Internal Combustion engine,Roadster,2,2,Performance specs,18.7 l/100 km  12.58 US mpg15.11 UK mpg5.35 km/l,9.5 l/100 km  24.76 US mpg29.73 UK mpg10.53 km/l,12.9 l/100 km  18.23 US mpg21.9 UK mpg7.75 km/l,299 g/km,Petrol (Gasoline),"2.6 kg/Hp, 377.6 Hp/tonne","2.2 kg/Nm, 462.6 Nm/tonne",Engine specs,555 Hp @ 5750-6250 rpm.,126.3 Hp/l,680 Nm @ 1500-5650 rpm.  501.54 lb.-ft. @ 1500-5650 rpm.,"Front, Longitudinal",4395 cm3 268.2 cu. in.,8,V-engine,,,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1470 kg  3240.8 lbs.,Dimensions,4220 mm  166.14 in.,1950 mm  76.77 in.,1180 mm  46.46 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/40 R19; 275/35 R19,8.5J x 19; 10; 0J x 19,3.9 sec,3.9 sec,3.7 sec,,311 km/h  193.25 mph,2014 year,89 mm  3.5 in.,88.3 mm  3.48 in.,,,9.3,70 l  18.49 US gal | 15.4 UK gal,,,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,Roadster,Roadster MF4,S 4.0 V8 (420 Hp) Automatic,2009 year,Internal Combustion engine,Roadster,2,2,Performance specs,17.9 l/100 km  13.14 US mpg15.78 UK mpg5.59 km/l,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,12.2 l/100 km  19.28 US mpg23.15 UK mpg8.2 km/l,275 g/km,Petrol (Gasoline),"3.3 kg/Hp, 302.2 Hp/tonne","3.5 kg/Nm, 287.8 Nm/tonne",Engine specs,420 Hp @ 8300 rpm.,105 Hp/l,400 Nm @ 3900 rpm.  295.02 lb.-ft. @ 3900 rpm.,"Front, Longitudinal",3999 cm3 244.03 cu. in.,8,V-engine,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.4 sec,4.4 sec,4.2 sec,,293 km/h  182.06 mph,2014 year,92 mm  3.62 in.,75.2 mm  2.96 in.,,,12,70 l  18.49 US gal | 15.4 UK gal,,,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,Roadster,Roadster MF4,S 4.0 V8 (420 Hp),2009 year,Internal Combustion engine,Roadster,2,2,Performance specs,17.9 l/100 km  13.14 US mpg15.78 UK mpg5.59 km/l,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,295 g/km,Petrol (Gasoline),"3.3 kg/Hp, 302.2 Hp/tonne","3.5 kg/Nm, 287.8 Nm/tonne",Engine specs,420 Hp @ 8300 rpm.,105 Hp/l,400 Nm @ 3900 rpm.  295.02 lb.-ft. @ 3900 rpm.,"Front, Longitudinal",3999 cm3 244.03 cu. in.,8,V-engine,,,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.4 sec,4.4 sec,4.2 sec,,293 km/h  182.06 mph,2014 year,92 mm  3.62 in.,75.2 mm  2.96 in.,6,,12,70 l  18.49 US gal | 15.4 UK gal,,,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,Roadster,Roadster MF4,4.4 V8 (407 Hp) Automatic,2009 year,Internal Combustion engine,Roadster,2,2,Performance specs,17.2 l/100 km  13.68 US mpg16.42 UK mpg5.81 km/l,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,285 g/km,Petrol (Gasoline),"3.6 kg/Hp, 279.7 Hp/tonne","2.4 kg/Nm, 412.4 Nm/tonne",Engine specs,407 Hp @ 5500-6400 rpm.,92.6 Hp/l,600 Nm @ 1750-4500 rpm.  442.54 lb.-ft. @ 1750-4500 rpm.,"Front, Longitudinal",4395 cm3 268.2 cu. in.,8,V-engine,,,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1455 kg  3207.73 lbs.,Dimensions,4230 mm  166.54 in.,1880 mm  74.02 in.,1190 mm  46.85 in.,2507 mm  98.7 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,,ABS (Anti-lock braking system),,,245/45 R18,8J x 18,4.6 sec,4.6 sec,4.4 sec,,291 km/h  180.82 mph,2014 year,89 mm  3.5 in.,88.3 mm  3.48 in.,,,10,70 l  18.49 US gal | 15.4 UK gal,,,,,,,,,,,,,,,,,,,Euro 5,,
Wiesmann,Roadster,Roadster MF3,3.2i 24V (325 Hp),2005 year,Internal Combustion engine,Roadster,2,2,Performance specs,,,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,Petrol (Gasoline),"3.6 kg/Hp, 275.4 Hp/tonne","3.4 kg/Nm, 296.6 Nm/tonne",Engine specs,325 Hp @ 7400 rpm.,100.1 Hp/l,350 Nm @ 4900 rpm.  258.15 lb.-ft. @ 4900 rpm.,,3246 cm3 198.08 cu. in.,6,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,Dimensions,3860 mm  151.97 in.,1750 mm  68.9 in.,1160 mm  45.67 in.,2990 mm  117.72 in.,1450 mm  57.09 in.,1520 mm  59.84 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Spring Strut,Transverse stabilizer,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,215/50 R17,17,4.9 sec,4.9 sec,4.7 sec,,255 km/h  158.45 mph,2014 year,87 mm  3.43 in.,91 mm  3.58 in.,6,,11.5,60 l  15.85 US gal | 13.2 UK gal,,,,9.8 m  32.15 ft.,,,,,,,,,,,,,,,,,
Wiesmann,Roadster,Roadster MF3,3.0i 24V (231 Hp),2005 year,Internal Combustion engine,Roadster,2,2,Performance specs,,,10 l/100 km  23.52 US mpg28.25 UK mpg10 km/l,,Petrol (Gasoline),"4.7 kg/Hp, 213.9 Hp/tonne","3.6 kg/Nm, 277.8 Nm/tonne",Engine specs,231 Hp @ 5900 rpm.,77.5 Hp/l,300 Nm @ 3500 rpm.  221.27 lb.-ft. @ 3500 rpm.,,2979 cm3 181.79 cu. in.,6,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1080 kg  2380.99 lbs.,Dimensions,3860 mm  151.97 in.,1750 mm  68.9 in.,1160 mm  45.67 in.,2290 mm  90.16 in.,1450 mm  57.09 in.,1520 mm  59.84 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Spring Strut,Transverse stabilizer,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,215/50 R17,17,5.9 sec,5.9 sec,5.6 sec,,230 km/h  142.92 mph,2014 year,84 mm  3.31 in.,89.6 mm  3.53 in.,5,,10.2,60 l  15.85 US gal | 13.2 UK gal,1400 kg  3086.47 lbs.,320 kg  705.48 lbs.,,9.8 m  32.15 ft.,,,,,,,,,,,,,,,,,
Wiesmann,Roadster,Roadster,3.2i 24V (321 Hp),1993 year,Internal Combustion engine,Roadster,2,2,Performance specs,,,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,Petrol (Gasoline),"3.3 kg/Hp, 302.8 Hp/tonne","3 kg/Nm, 330.2 Nm/tonne",Engine specs,321 Hp @ 7400 rpm.,100.3 Hp/l,350 Nm @ 3250 rpm.  258.15 lb.-ft. @ 3250 rpm.,,3201 cm3 195.34 cu. in.,6,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1060 kg  2336.9 lbs.,Dimensions,3860 mm  151.97 in.,1750 mm  68.9 in.,1160 mm  45.67 in.,2450 mm  96.46 in.,1450 mm  57.09 in.,1520 mm  59.84 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Spring Strut,Transverse stabilizer,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,215/50 R17,17,4.9 sec,4.9 sec,4.7 sec,,255 km/h  158.45 mph,2005 year,86.4 mm  3.4 in.,91 mm  3.58 in.,6,,11.3,60 l  15.85 US gal | 13.2 UK gal,,,,9.8 m  32.15 ft.,,,,,,,,,,,,,,,,,
Wiesmann,Roadster,Roadster,2.8i 24V (193 Hp),1993 year,Internal Combustion engine,Roadster,2,2,Performance specs,,,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,,Petrol (Gasoline),"5.2 kg/Hp, 194 Hp/tonne","3.6 kg/Nm, 281.4 Nm/tonne",Engine specs,193 Hp @ 5300 rpm.,69.1 Hp/l,280 Nm @ 3950 rpm.  206.52 lb.-ft. @ 3950 rpm.,,2793 cm3 170.44 cu. in.,6,Inline,4,Multi-point indirect injection,Naturally aspirated engine,DOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",995 kg  2193.6 lbs.,Dimensions,3860 mm  151.97 in.,1750 mm  68.9 in.,1160 mm  45.67 in.,2450 mm  96.46 in.,1450 mm  57.09 in.,1520 mm  59.84 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Spring Strut,Transverse stabilizer,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,215/50 R17,17,6 sec,6 sec,5.7 sec,,225 km/h  139.81 mph,2005 year,84 mm  3.31 in.,84 mm  3.31 in.,5,,10.2,60 l  15.85 US gal | 13.2 UK gal,,,,9.8 m  32.15 ft.,,,,,,,,,,,,,,,,,
