Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Average Energy consumption,Electric motor 1,Electric motor power,System power,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Max. weight,Max load,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Minimum turning circle (turning diameter),"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,CO2 emissions,Weight-to-torque ratio,Engine specs,Power,Torque,Number of cylinders,Position of cylinders,Engine aspiration,Drivetrain Architecture,Front suspension,Rear suspension,Fuel System,Maximum engine speed,Engine location,Cylinder Bore,Piston Stroke,Compression ratio,Engine systems,Steering type,Number of Gears (manual transmission),End of production,Power per litre,Engine displacement,Number of valves per cylinder,Valvetrain,Trunk (boot) space - minimum,Fuel tank capacity,Power steering,Fuel consumption (economy) - combined,Trunk (boot) space - maximum,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Ride height (ground clearance)
Eagle,Summit,Summit,1.5 i 12V (92 Hp),1993 year,Internal Combustion engine,Sedan,5,2,Performance specs,Petrol (Gasoline),,"10.3 kg/Hp, 97.3 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",946 kg  2085.57 lbs.,,,Dimensions,4345 mm  171.06 in.,1690 mm  66.54 in.,1310 mm  51.57 in.,2440 mm  96.06 in.,1450 mm  57.09 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Drum,ABS (Anti-lock braking system),145/80 R13 S,,,,,"7.5 kg/Nm, 133.2 Nm/tonne",Engine specs,92 Hp @ 6000 rpm.,126 Nm @ 3000 rpm.  92.93 lb.-ft. @ 3000 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",75.5 mm  2.97 in.,82 mm  3.23 in.,9.2,,,5,1996 year,62.7 Hp/l,1468 cm3 89.58 cu. in.,3,OHC,,50 l  13.21 US gal | 11 UK gal,Hydraulic Steering,6.7 l/100 km  35.11 US mpg42.16 UK mpg14.93 km/l,,,,,
Eagle,Summit,Summit Wagon,2.4i 16V (136 Hp) Automa,1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.2 kg/Hp, 97.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1591 mm  62.64 in.,2520 mm  99.21 in.,1455 mm  57.28 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),4,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,14,,,,"7.1 kg/Nm, 141.7 Nm/tonne",Engine specs,136 Hp @ 5500 rpm.,197 Nm @ 4250 rpm.  145.3 lb.-ft. @ 4250 rpm.,4,Inline,Naturally aspirated engine,,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.5 mm  3.41 in.,100 mm  3.94 in.,9.5,,,,1998 year,57.8 Hp/l,2351 cm3 143.47 cu. in.,4,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,2.4i 16V (136 Hp),1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.2 kg/Hp, 97.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1390 kg  3064.43 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1591 mm  62.64 in.,2520 mm  99.21 in.,1455 mm  57.28 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,,,,,"7.1 kg/Nm, 141.7 Nm/tonne",Engine specs,136 Hp @ 5500 rpm.,197 Nm @ 4250 rpm.  145.3 lb.-ft. @ 4250 rpm.,4,Inline,Naturally aspirated engine,,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.5 mm  3.41 in.,100 mm  3.94 in.,9.5,,,5,1998 year,57.8 Hp/l,2351 cm3 143.47 cu. in.,4,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,2.4i (118 Hp) Automatic,1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"11 kg/Hp, 91.1 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1295 kg  2854.99 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1578 mm  62.13 in.,2520 mm  99.21 in.,1460 mm  57.48 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,14,,,,"7 kg/Nm, 142.1 Nm/tonne",Engine specs,118 Hp @ 5000 rpm.,184 Nm @ 3500 rpm.  135.71 lb.-ft. @ 3500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.36 mm  3.4 in.,100.076 mm  3.94 in.,8.5,,,,1998 year,50.2 Hp/l,2351 cm3 143.47 cu. in.,2,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,2.4i (118 Hp),1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"11 kg/Hp, 91.1 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1295 kg  2854.99 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1578 mm  62.13 in.,2520 mm  99.21 in.,1460 mm  57.48 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Drum,ABS (Anti-lock braking system),205/70 R14 S,,,,,"7 kg/Nm, 142.1 Nm/tonne",Engine specs,118 Hp @ 5000 rpm.,184 Nm @ 3500 rpm.  135.71 lb.-ft. @ 3500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",86.36 mm  3.4 in.,100.076 mm  3.94 in.,8.5,,,5,1998 year,50.2 Hp/l,2351 cm3 143.47 cu. in.,2,OHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,9.9 l/100 km  23.76 US mpg28.53 UK mpg10.1 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,1.8i 16V (116 Hp) Automatic,1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.7 kg/Hp, 93.5 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1240 kg  2733.73 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1578 mm  62.13 in.,2520 mm  99.21 in.,1460 mm  57.48 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Ventilated discs,Drum,ABS (Anti-lock braking system),185/75 R14 S,14,,,,"7.8 kg/Nm, 127.4 Nm/tonne",Engine specs,116 Hp @ 6000 rpm.,158 Nm @ 4500 rpm.  116.53 lb.-ft. @ 4500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",81 mm  3.19 in.,89 mm  3.5 in.,9.5,,,,1998 year,63.2 Hp/l,1834 cm3 111.92 cu. in.,4,DOHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,9.3 l/100 km  25.29 US mpg30.37 UK mpg10.75 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Summit,Summit Wagon,1.8i 16V (116 Hp),1991 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),,"10.7 kg/Hp, 93.5 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1240 kg  2733.73 lbs.,,,Dimensions,4280 mm  168.5 in.,1695 mm  66.73 in.,1578 mm  62.13 in.,2520 mm  99.21 in.,1460 mm  57.48 in.,1460 mm  57.48 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Drum,ABS (Anti-lock braking system),185/75 R14 S,,,,,"7.8 kg/Nm, 127.4 Nm/tonne",Engine specs,116 Hp @ 6000 rpm.,158 Nm @ 4500 rpm.  116.53 lb.-ft. @ 4500 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Spring Strut,Helical spring,Multi-point indirect injection,,"Front, Transverse",81 mm  3.19 in.,89 mm  3.5 in.,9.5,,,5,1998 year,63.2 Hp/l,1834 cm3 111.92 cu. in.,4,DOHC,676 l  23.87 cu. ft.,55 l  14.53 US gal | 12.1 UK gal,Hydraulic Steering,9.3 l/100 km  25.29 US mpg30.37 UK mpg10.75 km/l,1630 l  57.56 cu. ft.,,,,
Eagle,Talon,Talon,2.0i 16V ESi (140 Hp) Automatic,1992 year,Internal Combustion engine,Coupe,4,2,Performance specs,Petrol (Gasoline),,"8.9 kg/Hp, 111.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1252 kg  2760.19 lbs.,,,Dimensions,4374 mm  172.2 in.,1735 mm  68.31 in.,1295 mm  50.98 in.,2509 mm  98.78 in.,1516 mm  59.69 in.,1501 mm  59.09 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,4,Ventilated discs,Disc,ABS (Anti-lock braking system),205/55 R16 H,6J x 16,,,,"7.1 kg/Nm, 140.6 Nm/tonne",Engine specs,140 Hp @ 6000 rpm.,176 Nm @ 4800 rpm.  129.81 lb.-ft. @ 4800 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Double wishbone,Double wishbone,Multi-point indirect injection,,"Front, Transverse",87.5 mm  3.44 in.,83 mm  3.27 in.,9.8,,,,1997 year,70.1 Hp/l,1996 cm3 121.8 cu. in.,4,DOHC,,60 l  15.85 US gal | 13.2 UK gal,Hydraulic Steering,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,,,,,
Eagle,Talon,Talon,2.0i 16V ESi (140 Hp),1992 year,Internal Combustion engine,Coupe,4,2,Performance specs,Petrol (Gasoline),,"8.9 kg/Hp, 111.8 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1252 kg  2760.19 lbs.,,,Dimensions,4374 mm  172.2 in.,1735 mm  68.31 in.,1295 mm  50.98 in.,2509 mm  98.78 in.,1516 mm  59.69 in.,1501 mm  59.09 in.,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Ventilated discs,Disc,ABS (Anti-lock braking system),205/55 R16 H,,,,,"7.1 kg/Nm, 140.6 Nm/tonne",Engine specs,140 Hp @ 6000 rpm.,176 Nm @ 4800 rpm.  129.81 lb.-ft. @ 4800 rpm.,4,Inline,Naturally aspirated engine,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Double wishbone,Double wishbone,Multi-point indirect injection,,"Front, Transverse",87.5 mm  3.44 in.,83 mm  3.27 in.,9.8,,,5,1997 year,70.1 Hp/l,1996 cm3 121.8 cu. in.,4,DOHC,,60 l  15.85 US gal | 13.2 UK gal,Hydraulic Steering,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,,,,,
Eagle,Talon,Talon,2.0 i 16V TSi 4WD (210 Hp),1992 year,Internal Combustion engine,Coupe,5,2,Performance specs,Petrol (Gasoline),,"6 kg/Hp, 167.7 Hp/tonne",,,,,,,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1252 kg  2760.19 lbs.,,,Dimensions,4374 mm  172.2 in.,1735 mm  68.31 in.,1295 mm  50.98 in.,2509 mm  98.78 in.,1516 mm  59.69 in.,1501 mm  59.09 in.,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),,Ventilated discs,Disc,ABS (Anti-lock braking system),205/55 R16V,,,,,"4.3 kg/Nm, 231.6 Nm/tonne",Engine specs,210 Hp @ 6000 rpm.,290 Nm @ 3000 rpm.  213.89 lb.-ft. @ 3000 rpm.,4,Inline,"Turbocharging / Mechanical supercharging (Compressor), Intercooler",,Double wishbone,Double wishbone,Multi-point indirect injection,,"Front, Transverse",85 mm  3.35 in.,88 mm  3.46 in.,7.8,,,5,1998 year,105.2 Hp/l,1997 cm3 121.86 cu. in.,4,DOHC,,60 l  15.85 US gal | 13.2 UK gal,Hydraulic Steering,,,,,,
