Full Name,Range (Km),Category,Price with Incentive (€),TCO_year,TCO_duration
Tesla Model 3 Autonomie Standard Plus,491,Berline,37800,420.34826883910387,1558.3930753564155
Hyundai IONIQ 5 Long Range AWD,375,Berline,37600,550.6288,2079.5152
Tesla Model 3 Grande Autonomie,490,Berline,46990,484.2897959183673,1814.1591836734692
Polestar 2,470,Berline,52900,489.32978723404256,1834.3191489361702
BMW i4 eDrive40,475,Berline,53700,513.6959999999999,1931.7839999999999
