Full Name,Range (Km),Category,Price with Incentive (€),TCO_year,TCO_duration
MG Marvel R,402,SUV,33990,500.9154228855722,1880.6616915422887
Kia e-Soul,452,SUV,33990,469.6017699115044,1755.4070796460176
Hyundai Kona Electric,484,SUV,33900,455.0165289256198,1697.0661157024792
Volkswagen ID.4 Pure,345,SUV,34600,483.8289855072464,1812.3159420289855
DS 3 Crossback E-Tense,341,SUV,33500,459.17008797653955,1713.6803519061582
