Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine Model/Code,Engine displacement,Number of cylinders,Number of valves per cylinder,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Max. weight,Max load,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Front brakes,Rear brakes,Tires size,Wheel rims size,Front track,Rear (Back) track,Compression ratio,Fuel consumption (economy) - combined,Position of cylinders,Fuel System,Valvetrain,Ride height (ground clearance),Number of Gears (manual transmission),Front suspension,Rear suspension,Assisting systems,Steering type,Power steering,Number of Gears (automatic transmission),Emission standard,Approach angle,Departure angle,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Front overhang,Rear overhang,Trunk (boot) space - minimum,Trunk (boot) space - maximum,CO2 emissions,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Acceleration 0 - 200 km/h,Acceleration 0 - 300 km/h,Maximum engine speed,Cylinder Bore,Piston Stroke,Width with mirrors folded,Width including mirrors,Drag coefficient (Cd),Acceleration 0 - 60 mph,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Average Energy consumption,Electric motor 1,Electric motor power,Electric motor 2,System power,System torque,Minimum turning circle (turning diameter),Engine oil capacity,Oil viscosity,Engine oil specification,Coolant,Engine systems,Permitted towbar download,Max. roof load,Ramp angle,Wading depth,Electric motor Torque,Internal combustion engine specs,Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Battery voltage,Battery technology,All-electric range (WLTP),Average Energy consumption (WLTP),Net (usable) battery capacity,"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Electric motor 3,Power (CNG),Power per litre (CNG),Torque (CNG),CNG cylinder capacity,100 km/h - 0,Fuel consumption (economy) - urban (LPG),Fuel consumption (economy) - extra urban (LPG),Fuel consumption (economy) - combined (LPG),CO2 emissions (LPG),Power (LPG),Power per litre (LPG),Torque (LPG),Fuel tank capacity (LPG),AdBlue tank,Max speed (electric),Permitted trailer load with brakes (8%)
Honda,Accord,Accord VIII,2.4i MT (177 Hp),2007 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),,"8.4 kg/Hp, 119.6 Hp/tonne","6.7 kg/Nm, 148.6 Nm/tonne",Engine specs,177 Hp @ 6500 rpm.,75.2 Hp/l,220 Nm @ 4300 rpm.  162.26 lb.-ft. @ 4300 rpm.,"Front, Transverse",K24Z2,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1480 kg  3262.84 lbs.,,,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,215/60 R16,6.5J x 16,1580 mm  62.2 in.,1580 mm  62.2 in.,10.5,,Inline,Multi-point indirect injection,DOHC,,5,,,ABS (Anti-lock braking system),Steering rack and pinion,,,Euro 4,,,,,,,464 l  16.39 cu. ft.,,,,,,,,,,,87 mm  3.43 in.,99 mm  3.9 in.,,,,,,,,,,,,,,11.5 m  37.73 ft.,4.2 l  4.44 US qt | 3.7 UK qt,Log in to see.,,6 l  6.34 US qt | 5.28 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.4i Automatic (201 Hp),2007 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),227 km/h  141.05 mph,"8 kg/Hp, 125.1 Hp/tonne","7.3 kg/Nm, 136.9 Nm/tonne",Engine specs,201 Hp @ 6800 rpm.,85.4 Hp/l,220 Nm @ 4500 rpm.  162.26 lb.-ft. @ 4500 rpm.,"Front, Transverse",K24Z3,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1607 kg  3542.83 lbs.,2030 kg  4475.38 lbs.,423 kg  932.56 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,225/50 R17,6.5J x 17,1580 mm  62.2 in.,1580 mm  62.2 in.,10.5,8.6 l/100 km  27.35 US mpg32.85 UK mpg11.63 km/l,Inline,Multi-point indirect injection,DOHC,,,"Independent torsion bar, double wishbone",Multi-link independent,ABS (Anti-lock braking system),Steering rack and pinion,,5,Euro 4,,,12 l/100 km  19.6 US mpg23.54 UK mpg8.33 km/l,6.6 l/100 km  35.64 US mpg42.8 UK mpg15.15 km/l,,,464 l  16.39 cu. ft.,,,9.7 sec,9.7 sec,9.2 sec,,,,,,87 mm  3.43 in.,99 mm  3.9 in.,,,,,,,,,,,,,,11.5 m  37.73 ft.,4.2-5.3 l  4.44 - 5.6 US qt | 3.7 - 4.66 UK qt,Log in to see.,,6.1-8.7 l  6.45 - 9.19 US qt | 5.37 - 7.65 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.4i Automatic (177 Hp),2007 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),,"8.4 kg/Hp, 119.6 Hp/tonne","6.7 kg/Nm, 148.6 Nm/tonne",Engine specs,177 Hp @ 6500 rpm.,75.2 Hp/l,220 Nm @ 4300 rpm.  162.26 lb.-ft. @ 4300 rpm.,"Front, Transverse",K24Z2,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1480 kg  3262.84 lbs.,,,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,215/60 R16,6.5J x 16,1580 mm  62.2 in.,1580 mm  62.2 in.,10.5,,Inline,Multi-point indirect injection,DOHC,,,,,ABS (Anti-lock braking system),Steering rack and pinion,,5,Euro 4,,,,,,,464 l  16.39 cu. ft.,,,,,,,,,,,87 mm  3.43 in.,99 mm  3.9 in.,,,,,,,,,,,,,,11.5 m  37.73 ft.,4.2 l  4.44 US qt | 3.7 UK qt,Log in to see.,,6 l  6.34 US qt | 5.28 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.2 i-DTEC Type S (180 Hp),2011 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Diesel,220 km/h  136.7 mph,"8.8 kg/Hp, 114.3 Hp/tonne","4.1 kg/Nm, 241.3 Nm/tonne",Engine specs,180 Hp @ 4000 rpm.,81.9 Hp/l,380 Nm @ 2000 rpm.  280.27 lb.-ft. @ 2000 rpm.,"Front, Transverse",N22B2,2199 cm3 134.19 cu. in.,4,4,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1575 kg  3472.28 lbs.,,,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4725 mm  186.02 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,235/40 R18,18,,,16.3,5.6 l/100 km  42 US mpg50.44 UK mpg17.86 km/l,Inline,Diesel Commonrail,,,6,Double wishbone,"Independent, spring multi-link with stabilizer",ABS (Anti-lock braking system),Steering rack and pinion,,,Euro 5,,,7.1 l/100 km  33.13 US mpg39.79 UK mpg14.08 km/l,4.8 l/100 km  49 US mpg58.85 UK mpg20.83 km/l,,,464 l  16.39 cu. ft.,,,8.7 sec,8.7 sec,8.3 sec,,,,,,,,,,,,,,,,,,,,,10.98 m  36.02 ft.,5.5-6.5 l  5.81 - 6.87 US qt | 4.84 - 5.72 UK qt,Log in to see.,,6.9-8.5 l  7.29 - 8.98 US qt | 6.07 - 7.48 UK qt,Particulate filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.2 i-DTEC (150 Hp) Automatic,2008 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Diesel,207 km/h  128.62 mph,"10.6 kg/Hp, 94.2 Hp/tonne","4.6 kg/Nm, 219.7 Nm/tonne",Engine specs,150 Hp @ 4000 rpm.,68.2 Hp/l,350 Nm @ 2000 rpm.  258.15 lb.-ft. @ 2000 rpm.,"Front, Transverse",N22B1,2199 cm3 134.19 cu. in.,4,4,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1593 kg  3511.96 lbs.,,,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,215/60 R16,16,,,16.3,6.6 l/100 km  35.64 US mpg42.8 UK mpg15.15 km/l,Inline,Diesel Commonrail,,,,Double wishbone,"Independent, spring multi-link with stabilizer",ABS (Anti-lock braking system),Steering rack and pinion,,5,Euro 5,,,8.6 l/100 km  27.35 US mpg32.85 UK mpg11.63 km/l,5.4 l/100 km  43.56 US mpg52.31 UK mpg18.52 km/l,,,467 l  16.49 cu. ft.,,,9.6 sec,9.6 sec,9.1 sec,,,,,,,,,,,,,,,,,,,,,10.98 m  36.02 ft.,5.5-6.5 l  5.81 - 6.87 US qt | 4.84 - 5.72 UK qt,Log in to see.,,6.9-8.5 l  7.29 - 8.98 US qt | 6.07 - 7.48 UK qt,Particulate filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.2 i-DTEC (150 Hp),2008 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Diesel,212 km/h  131.73 mph,"10.3 kg/Hp, 97.4 Hp/tonne","4.4 kg/Nm, 227.3 Nm/tonne",Engine specs,150 Hp @ 4000 rpm.,68.2 Hp/l,350 Nm @ 2000 rpm.  258.15 lb.-ft. @ 2000 rpm.,"Front, Transverse",N22B1,2199 cm3 134.19 cu. in.,4,4,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1540 kg  3395.12 lbs.,,,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,215/60 R16,16,,,16.3,5.8 l/100 km  40.55 US mpg48.7 UK mpg17.24 km/l,Inline,Diesel Commonrail,,,6,Double wishbone,"Independent, spring multi-link with stabilizer",ABS (Anti-lock braking system),Steering rack and pinion,,,Euro 5,,,7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,4.9 l/100 km  48 US mpg57.65 UK mpg20.41 km/l,,,467 l  16.49 cu. ft.,,,9.6 sec,9.6 sec,9.1 sec,,,,,,,,,,,,,,,,,,,,,10.98 m  36.02 ft.,5.5-6.5 l  5.81 - 6.87 US qt | 4.84 - 5.72 UK qt,Log in to see.,,6.9-8.5 l  7.29 - 8.98 US qt | 6.07 - 7.48 UK qt,Particulate filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.0 i-VTEC 16V (155 Hp) Automatic,2007 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),212 km/h  131.73 mph,"10 kg/Hp, 100.4 Hp/tonne","8.1 kg/Nm, 123.1 Nm/tonne",Engine specs,155 Hp @ 6000 rpm.,77.6 Hp/l,190 Nm @ 4500 rpm.  140.14 lb.-ft. @ 4500 rpm.,"Front, Transverse",R20A3,1998 cm3 121.93 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1544 kg  3403.94 lbs.,1960 kg  4321.06 lbs.,416 kg  917.12 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,205/60 R16,16,1589 mm  62.56 in.,1588 mm  62.52 in.,9.8,7.7 l/100 km  30.55 US mpg36.69 UK mpg12.99 km/l,Inline,Multi-point indirect injection,DOHC,,,,,ABS (Anti-lock braking system),Steering rack and pinion,,5,Euro 4,,,10.4 l/100 km  22.62 US mpg27.16 UK mpg9.62 km/l,6 l/100 km  39.2 US mpg47.08 UK mpg16.67 km/l,,,467 l  16.49 cu. ft.,,,10.9 sec,10.9 sec,10.4 sec,,,,,,86 mm  3.39 in.,86 mm  3.39 in.,,,,,,,,,,,,,,11.5 m  37.73 ft.,3.7-4.5 l  3.91 - 4.76 US qt | 3.26 - 3.96 UK qt,Log in to see.,,5.4-7 l  5.71 - 7.4 US qt | 4.75 - 6.16 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII,2.0 i-VTEC 16V (155 Hp),2007 year,2011 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),215 km/h  133.59 mph,"10 kg/Hp, 100.4 Hp/tonne","8.1 kg/Nm, 123.1 Nm/tonne",Engine specs,155 Hp @ 6000 rpm.,77.6 Hp/l,190 Nm @ 4500 rpm.  140.14 lb.-ft. @ 4500 rpm.,"Front, Transverse",R20A3,1998 cm3 121.93 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1544 kg  3403.94 lbs.,1960 kg  4321.06 lbs.,416 kg  917.12 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4726 mm  186.06 in.,1840 mm  72.44 in.,1440 mm  56.69 in.,2705 mm  106.5 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,205/60 R16,16,1590 mm  62.6 in.,1588 mm  62.52 in.,9.8,7.2 l/100 km  32.67 US mpg39.23 UK mpg13.89 km/l,Inline,Multi-point indirect injection,SOHC,,5,"Independent torsion bar, double wishbone",Multi-link independent,ABS (Anti-lock braking system),Steering rack and pinion,,,Euro 4,,,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,5.9 l/100 km  39.87 US mpg47.88 UK mpg16.95 km/l,,,467 l  16.49 cu. ft.,,,9.4 sec,9.4 sec,8.9 sec,,,,,,86 mm  3.39 in.,86 mm  3.39 in.,,,,,,,,,,,,,,11.5 m  37.73 ft.,3.7-4.5 l  3.91 - 4.76 US qt | 3.26 - 3.96 UK qt,Log in to see.,,5.4-7 l  5.71 - 7.4 US qt | 4.75 - 6.16 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII Coupe,3.5i V6 (268 Hp),2007 year,2011 year,Internal Combustion engine,Coupe,5,2,Performance specs,Petrol (Gasoline),,"5.5 kg/Hp, 183.4 Hp/tonne","4.3 kg/Nm, 232 Nm/tonne",Engine specs,268 Hp @ 6200 rpm.,77.2 Hp/l,339 Nm @ 5000 rpm.  250.03 lb.-ft. @ 5000 rpm.,"Front, Transverse",J35Z2,3471 cm3 211.81 cu. in.,6,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1461 kg  3220.95 lbs.,1619 kg  3569.28 lbs.,158 kg  348.33 lbs.,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4849 mm  190.91 in.,1849 mm  72.8 in.,1433 mm  56.42 in.,2741 mm  107.91 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,235/45 R18,18,1580 mm  62.2 in.,1582 mm  62.28 in.,10.5,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,V-engine,Multi-point indirect injection,DOHC,,6,Transverse stabilizer,Transverse stabilizer,,,,,,,,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,8.4 l/100 km  28 US mpg33.63 UK mpg11.9 km/l,,,,,,,,,,,,,,89 mm  3.5 in.,93 mm  3.66 in.,,,,,,,,,,,,,,,4.3-5 l  4.54 - 5.28 US qt | 3.78 - 4.4 UK qt,Log in to see.,,6.6-8.6 l  6.97 - 9.09 US qt | 5.81 - 7.57 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VIII Coupe,2.4i 16V (190 Hp),2007 year,2011 year,Internal Combustion engine,Coupe,5,2,Performance specs,Petrol (Gasoline),,"7.7 kg/Hp, 130 Hp/tonne","6.6 kg/Nm, 150.6 Nm/tonne",Engine specs,190 Hp @ 7000 rpm.,80.7 Hp/l,220 Nm @ 4400 rpm.  162.26 lb.-ft. @ 4400 rpm.,"Front, Transverse",K24Z3,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1461 kg  3220.95 lbs.,,,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4849 mm  190.91 in.,1849 mm  72.8 in.,1433 mm  56.42 in.,2741 mm  107.91 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,225/50 R17,6.5J x 17,1580 mm  62.2 in.,1580 mm  62.2 in.,,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,Inline,Multi-point indirect injection,DOHC,,5,Transverse stabilizer,Transverse stabilizer,,,,,,,,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,7.6 l/100 km  30.95 US mpg37.17 UK mpg13.16 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 l  4.23 US qt | 3.52 UK qt,Log in to see.,,6 l  6.34 US qt | 5.28 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VII Wagon,2.4 i-VTEC 16V (190 Hp) Automatic,2003 year,2008 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),212 km/h  131.73 mph,"8.1 kg/Hp, 123.4 Hp/tonne","7 kg/Nm, 142.9 Nm/tonne",Engine specs,190 Hp @ 6800 rpm.,80.7 Hp/l,220 Nm @ 4500 rpm.  162.26 lb.-ft. @ 4500 rpm.,"Front, Transverse",K24,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1540 kg  3395.12 lbs.,2060 kg  4541.52 lbs.,520 kg  1146.4 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4750 mm  187.01 in.,1760 mm  69.29 in.,1470 mm  57.87 in.,2720 mm  107.09 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,205/55 R16,16,1515 mm  59.65 in.,1530 mm  60.24 in.,10.5,,Inline,Multi-point indirect injection,DOHC,,,Double wishbone,Wishbone,ABS (Anti-lock braking system),Steering rack and pinion,,5,,,,14.3 l/100 km  16.45 US mpg19.75 UK mpg6.99 km/l,7.5 l/100 km  31.36 US mpg37.66 UK mpg13.33 km/l,,,572 l  20.2 cu. ft.,1657 l  58.52 cu. ft.,,9.9 sec,9.9 sec,9.4 sec,,,,,,87 mm  3.43 in.,99 mm  3.9 in.,,,,,,,,,,,,,,,4.2-5.3 l  4.44 - 5.6 US qt | 3.7 - 4.66 UK qt,Log in to see.,,5.1-5.4 l  5.39 - 5.71 US qt | 4.49 - 4.75 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VII Wagon,2.4 i-VTEC 16V (190 Hp),2003 year,2008 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),220 km/h  136.7 mph,"8.1 kg/Hp, 123.4 Hp/tonne","7 kg/Nm, 142.9 Nm/tonne",Engine specs,190 Hp @ 6800 rpm.,80.7 Hp/l,220 Nm @ 4500 rpm.  162.26 lb.-ft. @ 4500 rpm.,"Front, Transverse",K24,2354 cm3 143.65 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1540 kg  3395.12 lbs.,2060 kg  4541.52 lbs.,520 kg  1146.4 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4750 mm  187.01 in.,1760 mm  69.29 in.,1470 mm  57.87 in.,2720 mm  107.09 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,205/55 R16,16,1515 mm  59.65 in.,1530 mm  60.24 in.,10.5,,Inline,Multi-point indirect injection,DOHC,,6,Double wishbone,Wishbone,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,13.4 l/100 km  17.55 US mpg21.08 UK mpg7.46 km/l,7.7 l/100 km  30.55 US mpg36.69 UK mpg12.99 km/l,,,572 l  20.2 cu. ft.,1657 l  58.52 cu. ft.,,8.4 sec,8.4 sec,8 sec,,,,,,87 mm  3.43 in.,99 mm  3.9 in.,,,,,,,,,,,,,,,4.2-5.3 l  4.44 - 5.6 US qt | 3.7 - 4.66 UK qt,Log in to see.,,5.1-5.4 l  5.39 - 5.71 US qt | 4.49 - 4.75 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VII Wagon,2.2 i-CTDi (140 Hp),2002 year,2008 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Diesel,198 km/h  123.03 mph,"10.5 kg/Hp, 95.2 Hp/tonne","4.3 kg/Nm, 231.3 Nm/tonne",Engine specs,140 Hp @ 4000 rpm.,63.5 Hp/l,340 Nm @ 2000 rpm.  250.77 lb.-ft. @ 2000 rpm.,"Front, Transverse",N22A1,2204 cm3 134.5 cu. in.,4,4,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1470 kg  3240.8 lbs.,,,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4750 mm  187.01 in.,1760 mm  69.29 in.,1470 mm  57.87 in.,2720 mm  107.09 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,205/55 R16,16,1515 mm  59.65 in.,1530 mm  60.24 in.,16.7,5.8 l/100 km  40.55 US mpg48.7 UK mpg17.24 km/l,Inline,Diesel Commonrail,DOHC,,5,Double wishbone,Wishbone,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,7.5 l/100 km  31.36 US mpg37.66 UK mpg13.33 km/l,4.8 l/100 km  49 US mpg58.85 UK mpg20.83 km/l,,,576 l  20.34 cu. ft.,1657 l  58.52 cu. ft.,,10.1 sec,10.1 sec,9.6 sec,,,,,,85 mm  3.35 in.,97.1 mm  3.82 in.,,,,,,,,,,,,,,,5.9-6.5 l  6.23 - 6.87 US qt | 5.19 - 5.72 UK qt,Log in to see.,,6.8-8 l  7.19 - 8.45 US qt | 5.98 - 7.04 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Accord VII Wagon,2.0 i-VTEC 16V (155 Hp),2003 year,2008 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,Petrol (Gasoline),205 km/h  127.38 mph,"9.5 kg/Hp, 105.8 Hp/tonne","7.7 kg/Nm, 129.7 Nm/tonne",Engine specs,155 Hp @ 6000 rpm.,77.6 Hp/l,190 Nm @ 4500 rpm.  140.14 lb.-ft. @ 4500 rpm.,"Front, Transverse",K20,1998 cm3 121.93 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1465 kg  3229.77 lbs.,2030 kg  4475.38 lbs.,565 kg  1245.61 lbs.,65 l  17.17 US gal | 14.3 UK gal,Dimensions,4750 mm  187.01 in.,1760 mm  69.29 in.,1470 mm  57.87 in.,2720 mm  107.09 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Ventilated discs,Disc,195/65 R15,15,1515 mm  59.65 in.,1530 mm  60.24 in.,9.8,,Inline,Multi-point indirect injection,DOHC,,5,Double wishbone,Wishbone,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,10.9 l/100 km  21.58 US mpg25.92 UK mpg9.17 km/l,6.8 l/100 km  34.59 US mpg41.54 UK mpg14.71 km/l,,,572 l  20.2 cu. ft.,1657 l  58.52 cu. ft.,,9.9 sec,9.9 sec,9.4 sec,,,,,,86 mm  3.39 in.,86 mm  3.39 in.,,,,,,,,,,,,,,,4.2-5.3 l  4.44 - 5.6 US qt | 3.7 - 4.66 UK qt,Log in to see.,,4.5 l  4.76 US qt | 3.96 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
